DateTime,Junction,Vehicles,ID,Hour,Day,Month,IsWeekend,TrafficLevel
2020-01-01 00:00:00,3,8,1,0,2,1,0,Low
2020-01-01 01:00:00,4,6,2,1,2,1,0,Low
2020-01-01 02:00:00,1,18,3,2,2,1,0,Low
2020-01-01 03:00:00,3,6,4,3,2,1,0,Low
2020-01-01 04:00:00,3,6,5,4,2,1,0,Low
2020-01-01 05:00:00,4,19,6,5,2,1,0,Low
2020-01-01 06:00:00,1,58,7,6,2,1,0,High
2020-01-01 07:00:00,1,146,8,7,2,1,0,High
2020-01-01 08:00:00,3,63,9,8,2,1,0,High
2020-01-01 09:00:00,2,79,10,9,2,1,0,High
2020-01-01 10:00:00,3,28,11,10,2,1,0,Medium
2020-01-01 11:00:00,3,26,12,11,2,1,0,Medium
2020-01-01 12:00:00,3,39,13,12,2,1,0,Medium
2020-01-01 13:00:00,3,38,14,13,2,1,0,Medium
2020-01-01 14:00:00,4,22,15,14,2,1,0,Medium
2020-01-01 15:00:00,1,65,16,15,2,1,0,High
2020-01-01 16:00:00,4,18,17,16,2,1,0,Low
2020-01-01 17:00:00,4,50,18,17,2,1,0,High
2020-01-01 18:00:00,4,47,19,18,2,1,0,Medium
2020-01-01 19:00:00,3,61,20,19,2,1,0,High
2020-01-01 20:00:00,2,36,21,20,2,1,0,Medium
2020-01-01 21:00:00,1,65,22,21,2,1,0,High
2020-01-01 22:00:00,2,43,23,22,2,1,0,Medium
2020-01-01 23:00:00,4,20,24,23,2,1,0,Medium
2020-01-02 00:00:00,4,6,25,0,3,1,0,Low
2020-01-02 01:00:00,2,12,26,1,3,1,0,Low
2020-01-02 02:00:00,2,7,27,2,3,1,0,Low
2020-01-02 03:00:00,2,11,28,3,3,1,0,Low
2020-01-02 04:00:00,4,6,29,4,3,1,0,Low
2020-01-02 05:00:00,4,21,30,5,3,1,0,Medium
2020-01-02 06:00:00,1,67,31,6,3,1,0,High
2020-01-02 07:00:00,1,143,32,7,3,1,0,High
